Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,6.400988318677633,6.4330786686287,6.369497803320925,6.4183831214904785,493729600,0.0,0.0
2010-01-05 00:00:00-05:00,6.436076824409361,6.465767829443222,6.3955883986316175,6.429478645324707,601904800,0.0,0.0
2010-01-06 00:00:00-05:00,6.429481271891964,6.454973846527886,6.320613675061903,6.327211856842041,552160000,0.0,0.0
2010-01-07 00:00:00-05:00,6.3506030553674595,6.358100987373524,6.26962699139639,6.3155131340026855,477131200,0.0,0.0
2010-01-08 00:00:00-05:00,6.307116125958441,6.3581012649785595,6.26992798327909,6.357501029968262,447610800,0.0,0.0
2010-01-11 00:00:00-05:00,6.382094134270341,6.388092480406524,6.2516333091974765,6.301418781280518,462229600,0.0,0.0
2010-01-12 00:00:00-05:00,6.273824390234454,6.291219990021111,6.190749719955273,6.229737758636475,594459600,0.0,0.0
2010-01-13 00:00:00-05:00,6.234238916384411,6.326010809451721,6.121172494075393,6.317613124847412,605892000,0.0,0.0
2010-01-14 00:00:00-05:00,6.301418354669319,6.311915059273364,6.268727770863939,6.281023979187012,432894000,0.0,0.0
2010-01-15 00:00:00-05:00,6.326008519572437,6.346102971887557,6.174254020824936,6.176053524017334,594067600,0.0,0.0
2010-01-19 00:00:00-05:00,6.248035277562419,6.453773777089586,6.215345487284455,6.449275016784668,730007600,0.0,0.0
2010-01-20 00:00:00-05:00,6.445375096953876,6.464569404203669,6.283123837888296,6.350004196166992,612152800,0.0,0.0
2010-01-21 00:00:00-05:00,6.360500638690358,6.397389264705099,6.214443718988294,6.240235805511475,608154400,0.0,0.0
2010-01-22 00:00:00-05:00,6.201548728723449,6.223141975388762,5.9130350677707,5.930729389190674,881767600,0.0,0.0
2010-01-25 00:00:00-05:00,6.073487468564757,6.139167367834519,6.003908243218099,6.090282440185547,1065699600,0.0,0.0
2010-01-26 00:00:00-05:00,6.17665575609079,6.40938638714445,6.075586023425096,6.176355838775635,1867110000,0.0,0.0
2010-01-27 00:00:00-05:00,6.203647472313461,6.315513827156495,5.984112804164333,6.234538555145264,1722568400,0.0,0.0
2010-01-28 00:00:00-05:00,6.146066506216938,6.1631609954347635,5.959221989214429,5.976916313171387,1173502400,0.0,0.0
2010-01-29 00:00:00-05:00,6.03059925593936,6.064189192320408,5.705796031258827,5.760079860687256,1245952400,0.0,0.0
2010-02-01 00:00:00-05:00,5.769377665419896,5.87824525608362,5.73728731124516,5.840156555175781,749876400,0.0,0.0
2010-02-02 00:00:00-05:00,5.875545358850313,5.887841567049598,5.799667887822983,5.874045372009277,698342400,0.0,0.0
2010-02-03 00:00:00-05:00,5.8533507466730805,6.0042059179809435,5.830857353652852,5.975114345550537,615328000,0.0,0.0
2010-02-04 00:00:00-05:00,5.9001386760149845,5.949324320506524,5.745385327844093,5.759781360626221,757652000,0.0,0.0
2010-02-05 00:00:00-05:00,5.77717490798693,5.878244637257612,5.723790428529675,5.862049102783203,850306800,0.0,0.0
2010-02-08 00:00:00-05:00,5.868949404960288,5.9346297132645045,5.818264165671394,5.821863174438477,478270800,0.0,0.0
2010-02-09 00:00:00-05:00,5.890839346324293,5.923229606632807,5.840754369696911,5.883941650390625,632886800,0.0,0.0
2010-02-10 00:00:00-05:00,5.874945249039338,5.896239778495519,5.82606032915218,5.8518524169921875,370361600,0.0,0.0
