Model,RMSE,MAE,MAPE_%,Dir_Accuracy_%,Sharpe_Ratio,Max_Drawdown_%,Cumulative_Return_%
SARIMAX,69.85126386793154,66.53418638983032,30.68328270689117,54.46584938704028,0.556874106524374,-25.2349607814889,27.259781385806782
XGBoost,82.79241115784079,77.54947528972492,35.36294508224647,56.91768826619965,2.006102031865005,-12.712439727996752,137.86365504729878
LightGBM,83.86119730680609,78.693964170863,35.91176670352659,69.1768826619965,4.708297283466446,-12.57940888145566,748.2487965738898
MLP,9.624592894653587,8.310000135468774,3.883402590395615,72.15411558669001,4.960779004911423,-12.57940888145566,827.2161828127864
LSTM,2.863257425423682,2.716498106700652,43.56725658740505,67.5146771037182,4.310810866682902,-8.171668252339876,870.3814321164355
GRU,2.9217174621654425,2.771802482177787,44.44557254839576,69.08023483365949,4.0481993504728235,-9.83114659365409,833.9408356387496
Transformer,2.4131101971771853,2.258189915196322,35.97111270183484,63.405088062622305,2.6683392452236263,-23.2424920852383,354.98828397755256
Ensemble,16.956419658311304,15.460240784309624,7.008755515794886,73.20490367775831,5.179296919337267,-12.579408881455661,928.7221287115051
